,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
206,4845672,McGregor,3,2586,143662600,0.001160092807424594,166661.94895591648
207,4841980,League City,3,59227,5338644800,5.065257399496851e-05,270416.1007648539
208,4842016,Leander,3,31631,2671313900,9.484366602383737e-05,253357.2033764345
209,4817852,Cross Roads,3,717,80086600,0.0041841004184100415,335090.3765690376
210,4815472,Clifton,3,1608,92484000,0.0018656716417910447,172544.776119403
211,4859420,Preston,3,1168,58025500,0.0025684931506849314,149038.09931506848
212,4870808,Sugar Land,3,57158,6039395400,5.2486091185835757e-05,316984.25767171703
213,4832978,Heartland,3,3787,192609800,0.0007921837866385001,152582.3607076842
214,4839124,Kilgore,3,6269,349843800,0.0004785452225235285,167416.0791194768
215,4863176,Roscoe,3,680,34537700,0.004411764705882353,152372.20588235295
216,4829012,Garner,3,237,16312500,0.012658227848101266,206487.3417721519
217,4833824,Highland Park,3,3901,1417301300,0.0007690335811330429,1089952.2942835172
218,4834676,Hondo,3,3005,150195900,0.0009983361064891847,149945.99001663894
219,4817429,Coyote Flats,3,162,10370400,0.018518518518518517,192044.44444444444
220,4874924,Van Alstyne,3,2172,130907200,0.0013812154696132596,180811.0497237569
221,4877662,West Livingston,3,1499,123119700,0.0020013342228152103,246403.66911274186
222,4809328,Bonham,3,3420,232887000,0.0008771929824561404,204286.84210526317
223,4821028,Double Oak,3,1367,162101500,0.0021945866861741038,355745.7937088515
224,4816468,Converse,3,13666,852206900,0.00021952290355627103,187078.9331186887
225,4816432,Conroe,3,44795,3063744500,6.697176024109834e-05,205184.3620939837
226,4803768,Argyle,3,2540,300320600,0.0011811023622047244,354709.3700787402
227,4816240,Commerce,3,4423,166699900,0.0006782726656115759,113067.98553018314
228,4831715,Hackberry,3,1498,103725800,0.0020026702269692926,207728.57142857145
229,4857176,Pflugerville,2,37912,2604487800,5.275374551593163e-05,137396.48660054864
230,4854868,Paloma Creek,2,1803,96821000,0.0011092623405435386,107399.88907376595
231,4804462,Atascocita,2,43951,3261149200,4.550522172419285e-05,148399.31742167415
232,4849800,Mount Pleasant,2,7540,326988000,0.0002652519893899204,86734.21750663129
